root,source,direct_files,recursive_files,direct_bytes,proposed,status,reason
Garçons (Gelbooru),prisoner,1,1,132786,prisoner,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),prostitution,1,1,136946,Professions/prostitution,move,parité directe avec la galerie Tags
Garçons (Gelbooru),public_use,1,1,166933,Sexual themes/Exposure and public/public_use,move,parité directe avec la galerie Tags
Garçons (Gelbooru),Races,0,2,0,Races,keep,déjà sous une famille structurée
Garçons (Gelbooru),Races/orc,1,1,141664,Races/orc,keep,déjà sous une famille structurée
Garçons (Gelbooru),Races/vampire,1,1,958783,Races/vampire,keep,déjà sous une famille structurée
Garçons (Gelbooru),rape,28,28,5060135,Sexual themes/Non-consensual/rape,move,requête composite non consentie
Garçons (Gelbooru),rape broken_rape_victim,1,1,597911,Sexual themes/Non-consensual/rape broken_rape_victim,move,requête composite non consentie
Garçons (Gelbooru),rape imminent_rape,2,2,1025110,Sexual themes/Non-consensual/rape imminent_rape,move,requête composite non consentie
Garçons (Gelbooru),rape restrained,4,4,1004577,Sexual themes/Non-consensual/rape restrained,move,requête composite non consentie
Garçons (Gelbooru),restrained,15,15,3355428,Sexual themes/Bdsm/restrained,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),sex_toy,6,6,1132930,Sexual themes/Sextoys/sex_toy,move,pratique sexuelle classée dans Sextoys
Garçons (Gelbooru),Sexual themes,0,53,0,Sexual themes,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys,0,53,0,Sexual themes/Sextoys,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Dildos,0,36,0,Sexual themes/Sextoys/Dildos,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Dildos/dildo,35,35,7639946,Sexual themes/Sextoys/Dildos/dildo,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Dildos/dildo_harness,1,1,300694,Sexual themes/Sextoys/Dildos/dildo_harness,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Gags,0,8,0,Sexual themes/Sextoys/Gags,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Gags/ball_gag,2,2,369699,Sexual themes/Sextoys/Gags/ball_gag,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Gags/bit_gag,6,6,1194698,Sexual themes/Sextoys/Gags/bit_gag,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/sex_toy,1,1,104121,Sexual themes/Sextoys/sex_toy,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Vibrators,0,8,0,Sexual themes/Sextoys/Vibrators,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Vibrators/hitachi_magic_wand,3,3,672399,Sexual themes/Sextoys/Vibrators/hitachi_magic_wand,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Vibrators/vibrator,3,3,1164938,Sexual themes/Sextoys/Vibrators/vibrator,keep,déjà sous une famille structurée
Garçons (Gelbooru),Sexual themes/Sextoys/Vibrators/vibrator_under_clothes,2,2,1628948,Sexual themes/Sextoys/Vibrators/vibrator_under_clothes,keep,déjà sous une famille structurée
Garçons (Gelbooru),shackles,2,2,295874,Sexual themes/Bdsm/shackles,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),shibari,4,4,848012,shibari,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),skateboard,7,7,4419721,skateboard,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),slave,3,3,568331,Sexual themes/Bdsm/slave,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),smartphone,4,4,974399,smartphone,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),smoking,3,3,521378,smoking,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),soldier,1,1,383289,soldier,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),spanking,1,1,286610,Sexual themes/Bdsm/spanking,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),squatting,4,4,455563,Sexual themes/Penetration/squatting,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),stripper_pole,3,3,1302387,stripper_pole,review,aucune correspondance sûre dans les familles actuelles
