fichier;mode;site_detecte;tag;regle_blacklist
D:\tags\Ts\others\imminent_sex\d_\p_\explicit\a_\pokemon\n_1girl\cabbie_(pokemon) marnie_(pokemon)\habatakuhituji - 5532685 - explicit - 5d258f323ab2b92d272808aa3e62f642.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\impregnation\d_\p_\explicit\a_\misc\n_1girl\rose_(cpt.tester)\cpt.tester_works - 7798166 - explicit - 02e04e025efec67680f1b66f5ce2fad9.jpg;filename;inconnu;cpt.tester_works;cpt.tester_works
D:\tags\Ts\others\peeping\d_\p_hetero\explicit\a_\pokemon\n_1boy 1girl\clair_(pokemon) dragonair lance_(pokemon)\habatakuhituji - 1116031 - explicit - 877adba98d7b512162a58a0c8c7971e1.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\reach-around\d_\p_\explicit\a_small_breasts\misc\n_1girl\ginger_(cpt.tester)\cpt.tester_works - 6674454 - explicit - 43c1d9edb04e6512509a13fd9afe1b35.jpg;filename;inconnu;cpt.tester_works;cpt.tester_works
D:\tags\Ts\others\reach-around\d_ahegao_\p_\explicit\a_\misc\n_\elora_(cpt.tester)\cpt.tester_works - 6674148 - explicit - 88ea04ab02ebd40bf78822bae37b7527.jpg;filename;inconnu;cpt.tester_works;cpt.tester_works
D:\tags\Ts\others\triple_penetration\d_\p_\explicit\a_\queen's_blade\n_\leina_(queen's_blade)\habatakuhituji - 661027 - explicit - c7282180649e140263d12065629dcca7.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\triple_penetration\d_\p_\explicit\a_\queen's_blade\n_\leina_(queen's_blade)\habatakuhituji - 661037 - explicit - a6263e343a7f21030f2eb037f74df7c7.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\triple_penetration\d_\p_hetero\explicit\a_\queen's_blade\n_2boys 1girl\elina_(queen's_blade)\habatakuhituji - 661022 - explicit - c5eae78090e1dec4db7f44951c4a944a.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\used_condom\d_\p_hetero\explicit\a_\bitch_gakuen original\n_3boys 1girl\sakai_yuria\habatakuhituji - 5692454 - explicit - 477744e853e9649918641898cd9f07f3.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\used_condom\d_smile_\p_\explicit\a_\bitch_gakuen original\n_1girl\amanai_sora\habatakuhituji - 5692359 - explicit - 9496caa9aee15cb0b25999c4e4f2826a.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\voyeurism\d_smile_\p_hetero\explicit\a_loli\one_piece\n_2boys 1girl\nefertari_vivi\habatakuhituji - 1101495 - explicit - 8dd49ef11f76d5ae6f2c81a29b81524e.jpg;filename;inconnu;habatakuhituji;habatakuhituji
D:\tags\Ts\others\walk-in\d_\p_\explicit\a_\misc\n_\rose_(cpt.tester)\cpt.tester_works - 6674414 - explicit - 16889528a3fc149a30153acc5b91a55b.jpg;filename;inconnu;cpt.tester_works;cpt.tester_works
